timestamp,earth_pit_id,leakage_current_A,soil_temperature_C,soil_moisture_percent
2026-01-07 17:00:00,EP-01,0.734,28.06,43.53
2026-01-07 18:00:00,EP-01,0.699,27.44,42.85
2026-01-07 19:00:00,EP-01,0.735,26.85,43.69
2026-01-07 20:00:00,EP-01,0.711,26.05,43.03
2026-01-07 21:00:00,EP-01,0.741,25.02,42.89
2026-01-07 22:00:00,EP-01,0.668,24.64,44.14
2026-01-07 23:00:00,EP-01,0.74,24.52,41.75
2026-01-08 00:00:00,EP-01,0.645,24.47,44.81
2026-01-08 01:00:00,EP-01,0.731,24.56,43.16
2026-01-08 02:00:00,EP-01,0.682,24.9,42.8
2026-01-08 03:00:00,EP-01,0.721,25.57,42.93
2026-01-08 04:00:00,EP-01,0.742,25.85,43.32
2026-01-08 05:00:00,EP-01,0.769,26.48,41.85
2026-01-08 06:00:00,EP-01,0.765,27.36,43.64
2026-01-08 07:00:00,EP-01,0.724,28.42,42.59
2026-01-08 08:00:00,EP-01,0.745,29.12,42.17
2026-01-08 09:00:00,EP-01,0.719,29.3,42.81
2026-01-08 10:00:00,EP-01,0.708,29.97,42.0
2026-01-08 11:00:00,EP-01,0.781,29.65,41.8
2026-01-08 12:00:00,EP-01,0.715,30.06,42.63
2026-01-08 13:00:00,EP-01,0.759,30.08,42.3
2026-01-08 14:00:00,EP-01,0.774,29.65,43.01
2026-01-08 15:00:00,EP-01,0.791,29.49,42.9
2026-01-08 16:00:00,EP-01,0.789,29.25,42.4
2026-01-08 17:00:00,EP-01,0.78,28.02,41.66
2026-01-08 18:00:00,EP-01,0.763,27.27,42.45
2026-01-08 19:00:00,EP-01,0.809,26.74,41.92
2026-01-08 20:00:00,EP-01,0.83,26.2,42.42
2026-01-08 21:00:00,EP-01,0.798,25.59,42.72
2026-01-08 22:00:00,EP-01,0.785,25.03,42.8
2026-01-08 23:00:00,EP-01,0.805,24.8,41.45
2026-01-09 00:00:00,EP-01,0.868,24.92,42.43
2026-01-09 01:00:00,EP-01,0.85,24.29,41.73
2026-01-09 02:00:00,EP-01,0.84,24.84,43.24
2026-01-09 03:00:00,EP-01,0.903,25.27,42.01
2026-01-09 04:00:00,EP-01,0.865,26.41,41.71
2026-01-09 05:00:00,EP-01,0.871,27.13,41.37
2026-01-09 06:00:00,EP-01,0.838,27.41,42.28
2026-01-09 07:00:00,EP-01,0.895,28.27,41.27
2026-01-01 00:00:00,EP-02,0.333,23.93,63.72
2026-01-01 01:00:00,EP-02,0.311,24.02,63.16
2026-01-01 02:00:00,EP-02,0.353,24.52,61.4
2026-01-01 03:00:00,EP-02,0.354,24.68,62.95
2026-01-01 04:00:00,EP-02,0.311,25.56,62.14
2026-01-01 05:00:00,EP-02,0.321,26.29,62.99
2026-01-01 06:00:00,EP-02,0.344,27.16,62.46
2026-01-01 07:00:00,EP-02,0.366,27.66,62.33
2026-01-01 08:00:00,EP-02,0.383,28.18,62.5
2026-01-01 09:00:00,EP-02,0.41,28.66,60.9
2026-01-01 10:00:00,EP-02,0.422,29.82,62.51
2026-01-01 11:00:00,EP-02,0.338,29.54,62.59
2026-01-01 12:00:00,EP-02,0.386,29.48,63.27
2026-01-01 13:00:00,EP-02,0.408,29.31,63.35
2026-01-01 14:00:00,EP-02,0.449,29.37,62.49
2026-01-01 15:00:00,EP-02,0.398,29.01,61.34
2026-01-01 16:00:00,EP-02,0.408,28.24,64.16
2026-01-01 17:00:00,EP-02,0.402,27.98,61.75
2026-01-01 18:00:00,EP-02,0.423,26.99,61.88
2026-01-01 19:00:00,EP-02,0.415,26.44,62.25
2026-01-01 20:00:00,EP-02,0.369,25.53,61.71
2026-01-01 21:00:00,EP-02,0.404,24.94,60.98
2026-01-01 22:00:00,EP-02,0.373,24.61,61.84
2026-01-01 23:00:00,EP-02,0.349,24.39,62.37
2026-01-02 00:00:00,EP-02,0.396,23.88,62.71
2026-01-02 01:00:00,EP-02,0.422,24.72,62.26
2026-01-02 02:00:00,EP-02,0.422,24.5,62.45
2026-01-02 03:00:00,EP-02,0.427,25.23,61.25
2026-01-02 04:00:00,EP-02,0.4,25.47,62.15
2026-01-02 05:00:00,EP-02,0.447,26.15,61.02
2026-01-02 06:00:00,EP-02,0.416,26.92,61.96
2026-01-02 07:00:00,EP-02,0.351,27.53,60.41
2026-01-02 08:00:00,EP-02,0.348,28.19,60.12
2026-01-02 09:00:00,EP-02,0.4,29.19,60.47
2026-01-02 10:00:00,EP-02,0.378,29.4,61.32
2026-01-02 11:00:00,EP-02,0.378,29.51,60.72
2026-01-02 12:00:00,EP-02,0.396,29.92,60.06
2026-01-02 13:00:00,EP-02,0.419,29.5,59.85
2026-01-02 14:00:00,EP-02,0.395,29.18,58.39
2026-01-02 15:00:00,EP-02,0.417,28.92,58.6
2026-01-02 16:00:00,EP-02,0.398,28.64,57.37
2026-01-02 17:00:00,EP-02,0.363,27.55,60.13
2026-01-02 18:00:00,EP-02,0.408,27.17,57.81
2026-01-02 19:00:00,EP-02,0.374,26.39,58.54
2026-01-02 20:00:00,EP-02,0.417,25.59,58.47
2026-01-02 21:00:00,EP-02,0.409,25.21,58.65
2026-01-02 22:00:00,EP-02,0.367,24.16,58.57
2026-01-02 23:00:00,EP-02,0.44,24.13,56.03
2026-01-03 00:00:00,EP-02,0.415,24.43,58.71
2026-01-03 01:00:00,EP-02,0.429,24.27,56.32
2026-01-03 02:00:00,EP-02,0.42,24.57,55.98
2026-01-03 03:00:00,EP-02,0.475,25.43,57.46
2026-01-03 04:00:00,EP-02,0.405,25.83,56.82
2026-01-03 05:00:00,EP-02,0.444,26.59,56.59
2026-01-03 06:00:00,EP-02,0.457,27.19,56.12
2026-01-03 07:00:00,EP-02,0.399,27.81,55.17
2026-01-03 08:00:00,EP-02,0.418,28.81,56.78
2026-01-03 09:00:00,EP-02,0.489,29.11,56.26
2026-01-03 10:00:00,EP-02,0.462,29.55,54.09
2026-01-03 11:00:00,EP-02,0.478,29.8,53.71
2026-01-03 12:00:00,EP-02,0.473,29.88,55.99
2026-01-03 13:00:00,EP-02,0.504,29.8,54.56
2026-01-03 14:00:00,EP-02,0.489,29.48,53.31
2026-01-03 15:00:00,EP-02,0.491,28.93,52.99
2026-01-03 16:00:00,EP-02,0.514,28.59,52.39
2026-01-03 17:00:00,EP-02,0.505,28.04,54.5
2026-01-03 18:00:00,EP-02,0.541,27.12,52.82
2026-01-03 19:00:00,EP-02,0.494,26.46,53.66
2026-01-03 20:00:00,EP-02,0.56,25.94,53.11
2026-01-03 21:00:00,EP-02,0.503,25.08,53.26
2026-01-03 22:00:00,EP-02,0.535,24.59,61.17
2026-01-03 23:00:00,EP-02,0.533,24.31,61.1
2026-01-04 00:00:00,EP-02,0.541,24.39,60.97
2026-01-04 01:00:00,EP-02,0.527,24.34,61.8
2026-01-04 02:00:00,EP-02,0.531,24.3,59.08
2026-01-04 03:00:00,EP-02,0.566,25.18,60.4
2026-01-04 04:00:00,EP-02,0.599,25.22,60.74
2026-01-04 05:00:00,EP-02,0.611,26.21,60.06
2026-01-04 06:00:00,EP-02,0.557,26.98,60.05
2026-01-04 07:00:00,EP-02,0.614,28.26,60.0
2026-01-04 08:00:00,EP-02,0.628,28.58,53.63
2026-01-04 09:00:00,EP-02,0.58,29.18,52.49
2026-01-04 10:00:00,EP-02,0.664,29.77,51.61
2026-01-04 11:00:00,EP-02,0.61,29.82,51.77
2026-01-04 12:00:00,EP-02,0.609,29.99,52.37
2026-01-04 13:00:00,EP-02,0.587,29.96,52.49
2026-01-04 14:00:00,EP-02,0.539,29.75,51.36
2026-01-04 15:00:00,EP-02,0.551,29.17,52.22
2026-01-04 16:00:00,EP-02,0.569,28.77,51.09
2026-01-04 17:00:00,EP-02,0.576,27.82,52.14
2026-01-04 18:00:00,EP-02,0.592,27.01,52.77
2026-01-04 19:00:00,EP-02,0.586,26.11,50.64
2026-01-04 20:00:00,EP-02,0.583,25.78,52.15
2026-01-04 21:00:00,EP-02,0.581,25.29,53.01
2026-01-04 22:00:00,EP-02,0.553,24.57,51.4
2026-01-04 23:00:00,EP-02,0.587,24.78,51.95
2026-01-05 00:00:00,EP-02,0.516,24.1,51.65
2026-01-05 01:00:00,EP-02,0.563,24.45,52.37
2026-01-05 02:00:00,EP-02,0.568,25.03,51.82
2026-01-05 03:00:00,EP-02,0.554,25.36,51.15
2026-01-05 04:00:00,EP-02,0.584,25.87,52.28
2026-01-05 05:00:00,EP-02,0.614,26.41,54.05
2026-01-05 06:00:00,EP-02,0.568,27.0,52.47
2026-01-05 07:00:00,EP-02,0.547,27.84,52.73
2026-01-05 08:00:00,EP-02,0.588,28.54,53.2
2026-01-05 09:00:00,EP-02,0.604,29.54,52.83
2026-01-05 10:00:00,EP-02,0.61,29.32,52.14
2026-01-05 11:00:00,EP-02,0.556,30.01,51.92
2026-01-05 12:00:00,EP-02,0.575,30.46,52.21
2026-01-05 13:00:00,EP-02,0.592,29.95,52.38
2026-01-05 14:00:00,EP-02,0.584,29.81,53.21
2026-01-05 15:00:00,EP-02,0.628,29.34,52.7
2026-01-05 16:00:00,EP-02,0.562,28.68,52.92
2026-01-05 17:00:00,EP-02,0.616,28.07,52.81
2026-01-05 18:00:00,EP-02,0.611,27.55,52.26
2026-01-05 19:00:00,EP-02,0.594,26.65,49.61
2026-01-05 20:00:00,EP-02,0.617,25.19,50.48
2026-01-05 21:00:00,EP-02,0.624,25.44,50.83
2026-01-05 22:00:00,EP-02,0.601,25.17,51.27
2026-01-05 23:00:00,EP-02,0.68,24.62,51.86
2026-01-06 00:00:00,EP-02,0.671,24.56,50.61
2026-01-06 01:00:00,EP-02,0.634,24.62,50.19
2026-01-06 02:00:00,EP-02,0.636,24.77,51.87
2026-01-06 03:00:00,EP-02,0.65,25.31,50.9
2026-01-06 04:00:00,EP-02,0.662,26.07,50.02
2026-01-06 05:00:00,EP-02,0.637,26.85,50.33
2026-01-06 06:00:00,EP-02,0.634,27.45,50.85
2026-01-06 07:00:00,EP-02,0.638,28.13,50.88
2026-01-06 08:00:00,EP-02,0.692,28.89,48.98
2026-01-06 09:00:00,EP-02,0.698,29.29,49.52
2026-01-06 10:00:00,EP-02,0.718,30.09,51.14
2026-01-06 11:00:00,EP-02,0.735,30.06,49.78
2026-01-06 12:00:00,EP-02,0.728,30.2,49.38
2026-01-06 13:00:00,EP-02,0.735,30.08,48.47
2026-01-06 14:00:00,EP-02,0.71,29.94,48.83
2026-01-06 15:00:00,EP-02,0.734,29.51,48.3
2026-01-06 16:00:00,EP-02,0.749,28.87,47.38
2026-01-06 17:00:00,EP-02,0.771,28.03,46.8
2026-01-06 18:00:00,EP-02,0.713,27.2,47.93
2026-01-06 19:00:00,EP-02,0.736,26.62,48.14
2026-01-06 20:00:00,EP-02,0.755,26.08,47.73
2026-01-06 21:00:00,EP-02,0.765,25.02,46.87
2026-01-06 22:00:00,EP-02,0.698,25.0,46.91
2026-01-06 23:00:00,EP-02,0.781,24.96,46.84
2026-01-07 00:00:00,EP-02,0.744,24.73,46.01
2026-01-07 01:00:00,EP-02,0.758,24.93,45.74
2026-01-07 02:00:00,EP-02,0.779,25.15,45.19
2026-01-07 03:00:00,EP-02,0.784,25.6,45.8
2026-01-07 04:00:00,EP-02,0.742,25.87,45.05
2026-01-07 05:00:00,EP-02,0.774,26.53,45.6
2026-01-07 06:00:00,EP-02,0.73,27.41,45.12
2026-01-07 07:00:00,EP-02,0.821,27.91,45.99
2026-01-07 08:00:00,EP-02,0.763,28.94,44.69
2026-01-07 09:00:00,EP-02,0.77,29.41,45.55
2026-01-07 10:00:00,EP-02,0.746,30.12,43.67
2026-01-07 11:00:00,EP-02,0.755,29.96,44.35
2026-01-07 12:00:00,EP-02,0.792,30.26,43.64
2026-01-07 13:00:00,EP-02,0.726,30.14,42.34
2026-01-07 14:00:00,EP-02,0.73,29.96,44.5
2026-01-07 15:00:00,EP-02,0.822,29.35,44.42
2026-01-07 16:00:00,EP-02,0.757,28.86,43.46
2026-01-07 17:00:00,EP-02,0.751,28.24,42.64
2026-01-07 18:00:00,EP-02,0.714,27.19,43.35
2026-01-07 19:00:00,EP-02,0.741,26.66,42.7
2026-01-07 20:00:00,EP-02,0.768,26.15,42.05
2026-01-07 21:00:00,EP-02,0.778,25.85,42.85
2026-01-07 22:00:00,EP-02,0.772,25.34,43.26
2026-01-07 23:00:00,EP-02,0.763,24.94,42.67
2026-01-08 00:00:00,EP-02,0.721,24.87,41.08
2026-01-08 01:00:00,EP-02,0.73,25.09,42.76
2026-01-08 02:00:00,EP-02,0.789,25.05,41.1
2026-01-08 03:00:00,EP-02,0.747,25.58,42.02
2026-01-08 04:00:00,EP-02,0.784,26.07,42.18
2026-01-08 05:00:00,EP-02,0.733,26.91,41.86
2026-01-08 06:00:00,EP-02,0.742,27.5,41.67
2026-01-08 07:00:00,EP-02,0.758,28.63,41.71
2026-01-08 08:00:00,EP-02,0.762,28.54,41.05
2026-01-08 09:00:00,EP-02,0.766,29.4,42.85
2026-01-08 10:00:00,EP-02,0.773,30.25,41.78
2026-01-08 11:00:00,EP-02,0.783,30.26,41.73
2026-01-08 12:00:00,EP-02,0.83,29.91,40.13
2026-01-08 13:00:00,EP-02,0.779,30.29,42.28
2026-01-08 14:00:00,EP-02,0.811,29.93,42.56
2026-01-08 15:00:00,EP-02,0.831,29.6,42.52
2026-01-08 16:00:00,EP-02,0.818,28.88,42.33
2026-01-08 17:00:00,EP-02,0.82,28.32,42.96
2026-01-08 18:00:00,EP-02,0.763,27.31,40.86
2026-01-08 19:00:00,EP-02,0.822,26.83,40.62
2026-01-08 20:00:00,EP-02,0.813,26.03,43.82
2026-01-08 21:00:00,EP-02,0.889,25.55,41.58
2026-01-08 22:00:00,EP-02,0.822,24.81,41.8
2026-01-08 23:00:00,EP-02,0.833,24.9,40.64
2026-01-09 00:00:00,EP-02,0.845,24.85,42.23
2026-01-09 01:00:00,EP-02,0.881,24.66,42.64
2026-01-09 02:00:00,EP-02,0.857,25.33,41.96
2026-01-09 03:00:00,EP-02,0.849,25.59,42.27
2026-01-09 04:00:00,EP-02,0.904,26.21,43.22
2026-01-09 05:00:00,EP-02,0.92,26.87,42.6
2026-01-09 06:00:00,EP-02,0.948,28.04,41.01
2026-01-09 07:00:00,EP-02,0.882,28.67,41.14
2026-01-01 00:00:00,EP-03,0.317,24.1,62.34
2026-01-01 01:00:00,EP-03,0.354,24.17,61.48
2026-01-01 02:00:00,EP-03,0.346,24.41,63.87
2026-01-01 03:00:00,EP-03,0.378,25.21,61.67
2026-01-01 04:00:00,EP-03,0.372,25.47,59.96
2026-01-01 05:00:00,EP-03,0.349,25.93,60.3
2026-01-01 06:00:00,EP-03,0.359,27.29,62.08
2026-01-01 07:00:00,EP-03,0.427,27.84,62.75
2026-01-01 08:00:00,EP-03,0.378,28.54,62.72
2026-01-01 09:00:00,EP-03,0.392,29.13,62.59
2026-01-01 10:00:00,EP-03,0.398,29.24,61.18
2026-01-01 11:00:00,EP-03,0.418,29.81,61.49
2026-01-01 12:00:00,EP-03,0.421,29.96,62.6
2026-01-01 13:00:00,EP-03,0.463,30.01,61.29
2026-01-01 14:00:00,EP-03,0.47,29.37,62.9
2026-01-01 15:00:00,EP-03,0.433,28.96,60.58
2026-01-01 16:00:00,EP-03,0.43,28.15,62.76
2026-01-01 17:00:00,EP-03,0.475,27.63,62.17
2026-01-01 18:00:00,EP-03,0.421,26.95,62.49
2026-01-01 19:00:00,EP-03,0.439,26.7,61.42
2026-01-01 20:00:00,EP-03,0.467,25.7,62.37
2026-01-01 21:00:00,EP-03,0.431,25.09,61.56
2026-01-01 22:00:00,EP-03,0.422,24.8,62.08
2026-01-01 23:00:00,EP-03,0.458,24.7,62.62
2026-01-02 00:00:00,EP-03,0.434,24.37,60.85
2026-01-02 01:00:00,EP-03,0.444,24.28,62.52
2026-01-02 02:00:00,EP-03,0.452,24.64,62.05
2026-01-02 03:00:00,EP-03,0.387,24.73,61.6
2026-01-02 04:00:00,EP-03,0.442,25.76,59.76
2026-01-02 05:00:00,EP-03,0.439,26.79,61.32
2026-01-02 06:00:00,EP-03,0.443,27.03,60.19
2026-01-02 07:00:00,EP-03,0.384,27.9,61.01
2026-01-02 08:00:00,EP-03,0.397,28.4,59.23
2026-01-02 09:00:00,EP-03,0.411,29.12,58.3
2026-01-02 10:00:00,EP-03,0.449,29.71,59.58
2026-01-02 11:00:00,EP-03,0.371,29.65,60.56
2026-01-02 12:00:00,EP-03,0.362,29.88,58.43
2026-01-02 13:00:00,EP-03,0.451,29.72,59.48
2026-01-02 14:00:00,EP-03,0.445,29.94,58.78
2026-01-02 15:00:00,EP-03,0.44,28.84,59.67
2026-01-02 16:00:00,EP-03,0.411,28.45,58.47
2026-01-02 17:00:00,EP-03,0.392,27.94,59.04
2026-01-02 18:00:00,EP-03,0.439,26.85,57.93
2026-01-02 19:00:00,EP-03,0.451,26.07,56.93
2026-01-02 20:00:00,EP-03,0.455,25.83,57.88
2026-01-02 21:00:00,EP-03,0.482,25.29,57.83
2026-01-02 22:00:00,EP-03,0.505,24.72,56.43
2026-01-02 23:00:00,EP-03,0.451,24.57,56.4
2026-01-03 00:00:00,EP-03,0.417,24.85,56.84
2026-01-03 01:00:00,EP-03,0.428,24.68,56.25
2026-01-03 02:00:00,EP-03,0.444,24.89,55.06
2026-01-03 03:00:00,EP-03,0.463,25.61,56.22
2026-01-03 04:00:00,EP-03,0.449,25.71,55.28
2026-01-03 05:00:00,EP-03,0.457,26.41,56.11
2026-01-03 06:00:00,EP-03,0.425,27.39,54.84
2026-01-03 07:00:00,EP-03,0.483,27.72,55.98
2026-01-03 08:00:00,EP-03,0.511,28.82,53.48
2026-01-03 09:00:00,EP-03,0.506,29.29,53.19
2026-01-03 10:00:00,EP-03,0.491,29.73,54.71
2026-01-03 11:00:00,EP-03,0.503,30.0,55.23
2026-01-03 12:00:00,EP-03,0.535,29.47,53.6
2026-01-03 13:00:00,EP-03,0.507,29.6,53.73
2026-01-03 14:00:00,EP-03,0.549,29.46,53.74
2026-01-03 15:00:00,EP-03,0.502,29.1,54.47
